Temperature (°C),Pressure (psi),Vibration (g),Oil Quality (%),Flight Hours,Ambient Temp (°C),Altitude (ft),Last Service Cycles,Failure Probability
603.73,277.93,0.121,91.9,813,26.8,10704,44,0.5803
637.23,304.92,0.467,60.5,4295,12.7,7714,30,0.9241
665.61,318.9,0.513,79.1,1519,22.2,4107,1000,0.9139
626.46,307.17,0.257,86.8,1148,20.5,5830,294,0.7437
675.47,335.78,0.356,88.5,618,13.5,0,757,0.8316
632.97,296.26,0.376,88.4,576,41.4,6517,711,0.8043
641.82,285.91,0.231,91.6,540,26.3,8113,318,0.687
643.69,301.26,0.526,64.6,3535,-0.3,7592,297,0.9287
598.72,259.75,0.689,51.1,5000,21.9,13940,134,0.9599
659.67,295.96,0.349,82.3,1531,13.4,9725,48,0.7943
660.82,286.42,0.289,93.1,166,28.5,9591,348,0.7086
639.96,311.24,0.517,70.1,2781,12.1,3070,511,0.9199
656.55,314.8,0.57,59.1,4192,18.9,6906,236,0.9492
644.56,292.68,0.591,53.0,5000,25.0,6540,16,0.954
676.24,310.34,0.302,80.0,1982,28.7,5642,47,0.8074
618.54,302.62,0.227,85.5,1414,8.0,5600,32,0.7116
678.03,330.09,0.492,76.5,1938,16.7,2576,322,0.8958
652.85,327.29,0.225,95.3,26,15.3,4172,250,0.6741
619.49,278.17,0.353,78.0,2131,13.5,10622,188,0.8149
641.73,288.86,0.417,74.3,2473,37.7,7571,235,0.866
662.42,311.33,0.418,73.6,2560,24.0,6481,97,0.8739
665.42,312.62,0.365,81.0,1656,7.4,7984,490,0.8478
606.87,270.1,0.43,74.5,2408,29.2,11502,119,0.8452
645.19,287.7,0.393,77.8,2037,41.2,8013,310,0.8465
651.1,291.4,0.153,95.2,246,30.3,9621,149,0.6058
629.06,302.15,0.442,59.0,4573,4.8,5460,22,0.9231
637.49,306.43,0.301,80.3,1950,15.2,6144,89,0.7944
628.61,281.76,0.695,67.8,2602,32.7,9062,1000,0.9534
605.96,270.92,0.181,90.5,840,12.9,13678,63,0.6213
612.2,264.35,0.684,51.2,5000,24.4,12289,33,0.9589
626.13,275.94,0.273,84.7,1397,27.7,9748,103,0.7306
636.65,286.12,0.453,74.9,2273,10.7,8454,631,0.8895
611.38,239.51,0.581,53.2,5000,19.4,12203,110,0.944
604.96,274.06,0.6,53.1,4956,-12.4,10384,162,0.9518
672.33,345.09,0.403,77.4,2070,9.8,1119,111,0.8665
662.93,312.72,0.457,88.3,362,17.5,4838,1000,0.8616
655.86,276.66,1.0,50.0,5000,7.5,9014,1000,0.9897
677.84,338.64,0.639,52.1,5000,36.3,2639,198,0.9696
656.67,312.79,0.266,93.1,218,5.7,5307,461,0.725
669.23,328.37,0.176,88.1,1197,15.6,5901,75,0.71
635.0,292.61,0.348,81.9,1589,21.3,7232,141,0.7946
638.67,299.9,0.299,92.7,193,34.4,7138,341,0.7146
650.55,297.86,0.082,95.4,421,5.6,7133,101,0.5692
658.73,271.6,0.23,84.6,1543,31.6,10476,76,0.7232
664.58,307.65,0.799,50.0,5000,20.1,7204,766,0.983
644.51,302.03,0.154,96.5,56,10.2,6846,84,0.5892
659.88,323.93,0.56,54.5,4871,24.6,3952,18,0.954
628.22,273.08,0.573,56.3,4578,22.0,11073,417,0.9509
657.67,316.71,0.547,61.7,3892,14.0,5986,84,0.9373
667.15,332.51,0.228,88.8,948,20.7,4739,179,0.7359
615.76,281.88,0.245,85.6,1350,16.1,8639,35,0.7042
658.36,308.92,0.26,87.5,1034,21.1,5699,21,0.7259
679.26,309.44,0.736,50.1,5000,26.6,6422,185,0.9745
646.1,292.39,0.304,83.6,1474,35.9,8775,123,0.7699
633.66,309.59,0.177,95.3,168,7.6,7021,212,0.6282
591.31,239.94,0.479,85.9,641,41.3,14935,1000,0.8341
668.66,294.06,0.21,87.1,1240,0.5,7776,157,0.7191
623.26,290.08,0.635,52.1,5000,18.5,9854,277,0.9622
687.02,329.62,0.285,82.5,1683,25.9,2175,31,0.7965
643.07,313.62,0.502,73.2,2382,22.8,5418,651,0.9138
640.27,308.12,0.264,93.4,185,13.8,4739,492,0.7155
690.5,335.21,0.571,59.1,4196,17.9,5137,222,0.9549
639.04,286.82,0.271,83.7,1549,15.1,9247,61,0.7455
631.21,285.11,0.643,52.0,5000,14.1,11107,167,0.961
626.34,287.17,0.191,87.9,1179,28.5,9034,106,0.6763
667.81,304.9,0.632,71.2,2298,23.6,7320,1000,0.9477
641.46,310.38,0.372,83.6,1273,13.1,6107,202,0.8055
613.52,279.97,0.066,96.5,308,29.0,11341,165,0.5256
619.57,258.8,0.21,91.3,635,23.1,14214,56,0.6222
626.5,288.14,0.198,95.1,139,28.1,8405,82,0.6061
618.53,271.31,0.347,84.9,1161,26.3,10818,373,0.7755
661.03,295.07,0.355,78.2,2096,11.7,9030,230,0.8362
614.86,296.8,0.211,91.8,559,14.4,10267,133,0.6511
655.22,314.5,0.266,85.2,1348,27.5,4506,106,0.7575
651.44,298.22,0.184,87.7,1229,26.1,6536,67,0.6893
622.39,273.9,0.216,85.0,1525,19.8,9186,10,0.6934
603.25,274.24,0.46,87.9,408,21.2,11637,1000,0.8342
645.15,312.34,0.452,80.2,1527,32.8,5546,420,0.8633
685.22,337.09,0.338,86.9,906,14.1,1900,789,0.842
659.19,307.68,0.247,90.3,674,25.5,6505,160,0.7096
612.73,276.69,0.412,79.4,1764,18.0,11030,611,0.8491
696.2,328.61,0.096,95.8,320,17.8,3248,89,0.6143
668.82,324.09,0.582,55.9,4618,31.0,4469,214,0.9582
661.11,298.06,0.631,52.2,5000,28.3,8468,68,0.9616
641.22,303.64,0.424,76.3,2161,28.1,7652,441,0.8738
659.97,281.99,0.216,90.6,722,33.1,9783,207,0.6834
647.81,321.32,0.352,79.1,1967,20.2,4314,231,0.8372
656.61,292.41,0.515,76.8,1840,26.8,7025,589,0.8968
583.92,262.62,0.274,87.5,993,16.9,11586,403,0.7116
688.93,329.59,0.536,84.5,677,23.2,4421,1000,0.9046
612.43,255.19,0.276,91.9,369,18.7,12431,156,0.652
645.21,304.8,0.2,92.5,490,21.0,4798,186,0.6644
627.16,282.63,0.403,77.1,2117,26.0,10548,287,0.8449
649.47,307.67,0.66,56.3,4341,11.8,6881,181,0.9594
635.86,319.74,0.264,87.9,972,40.9,4565,163,0.7355
644.97,312.27,0.199,94.2,260,9.9,6509,125,0.6461
628.71,265.41,0.323,93.4,26,7.9,9635,535,0.7127
663.67,298.29,0.269,87.3,1041,31.6,7979,229,0.747
603.87,267.53,0.262,91.0,529,27.9,11355,280,0.6731
633.91,260.49,0.157,91.4,779,26.2,12307,68,0.6075
645.99,328.01,0.199,92.1,553,26.3,4451,87,0.6725
677.43,330.98,0.314,78.4,2182,19.9,4231,125,0.8361
658.16,314.52,0.344,78.8,2035,11.0,4086,188,0.8339
653.62,321.27,0.64,53.0,4868,20.8,5302,13,0.962
653.66,283.87,0.547,72.1,2406,13.2,11313,658,0.919
627.22,282.01,0.416,89.2,361,29.8,9681,702,0.8023
671.76,306.4,0.426,71.9,2785,18.5,6365,325,0.8951
643.76,298.06,0.192,93.3,400,11.7,7967,114,0.6398
602.14,255.99,0.227,84.0,1636,16.8,12213,146,0.7019
615.45,243.36,0.166,95.5,160,24.1,13724,397,0.5864
638.62,314.15,0.179,95.7,97,14.4,8778,101,0.6165
690.53,348.24,0.287,85.5,1248,11.8,22,282,0.8064
636.01,270.57,0.349,91.5,222,22.4,8892,710,0.7611
613.05,278.37,0.28,89.3,732,22.4,10804,159,0.6947
645.26,295.83,0.288,88.4,827,14.9,8674,265,0.7398
622.66,259.82,0.688,65.6,2934,15.3,10180,792,0.9487
644.54,281.97,0.256,89.2,809,22.3,9071,125,0.6978
669.16,328.15,0.434,81.7,1364,5.5,4296,428,0.8635
669.82,318.95,0.506,69.0,2962,5.9,5341,422,0.9245
653.79,298.26,0.436,88.1,459,12.8,7037,791,0.8368
609.88,262.0,0.559,65.8,3268,17.9,11196,587,0.9267
654.29,321.46,0.591,63.1,3565,23.1,5702,414,0.9478
627.05,272.71,0.662,51.6,5000,34.8,9368,304,0.9638
652.7,307.91,0.239,87.0,1174,28.6,8911,83,0.7255
617.49,266.77,0.332,86.8,926,18.4,12759,333,0.7485
649.69,286.45,0.376,75.5,2421,19.8,7875,97,0.8422
659.58,328.07,0.155,96.1,120,10.0,2736,174,0.6308
612.03,275.52,0.204,95.3,81,19.8,9941,371,0.6243
623.61,250.41,0.325,87.8,816,17.1,14414,337,0.7315
638.11,278.32,0.334,74.9,2615,23.2,10137,154,0.8316
652.82,318.56,0.087,96.5,248,11.7,5637,61,0.5711
637.47,316.62,0.345,78.9,2019,25.2,4754,199,0.8297
675.3,312.76,0.159,92.4,628,35.3,5141,94,0.6564
592.9,249.11,0.247,80.2,2109,18.9,14010,88,0.729
636.36,309.42,0.174,87.9,1221,24.0,7018,119,0.6893
686.59,319.75,0.248,93.3,245,26.9,6012,367,0.7232
646.9,286.05,0.148,93.0,568,16.0,7525,206,0.6269
652.56,310.18,0.08,94.9,496,22.2,7049,140,0.5883
627.29,274.73,0.382,89.8,360,20.1,12703,693,0.7823
657.36,309.6,0.278,85.5,1264,21.0,4957,368,0.7804
612.37,267.42,0.71,50.6,5000,12.3,11542,205,0.9651
648.06,289.17,0.37,77.5,2146,20.2,8366,164,0.8337
646.32,273.89,0.627,62.0,3616,25.0,11621,513,0.9482
625.62,255.0,0.668,51.5,5000,34.5,12748,57,0.9576
647.18,303.71,0.346,82.1,1556,29.6,8254,327,0.8157
632.17,277.18,0.179,92.6,544,41.5,7055,6,0.6083
623.74,291.63,0.554,53.8,5000,12.3,8199,2,0.9467
650.06,293.59,0.602,71.1,2401,28.7,7716,806,0.9357
635.62,322.92,0.579,53.3,5000,21.8,3029,216,0.9597
622.72,266.19,0.376,77.7,2106,41.9,12657,114,0.8135
620.3,289.41,0.457,69.9,2985,11.9,8737,475,0.9014
647.82,320.82,0.937,50.1,4426,11.6,4511,1000,0.988
676.36,341.57,0.308,73.8,2848,14.0,1797,11,0.857
681.12,361.31,0.234,83.7,1654,-1.2,1017,12,0.7835
637.86,300.62,0.446,82.1,1277,14.7,10311,579,0.8558
613.63,297.9,0.583,64.0,3467,12.4,6143,244,0.9315
634.92,292.15,0.636,66.5,2957,21.5,6635,643,0.9441
670.13,280.55,0.337,86.8,913,23.4,9464,356,0.7785
656.54,296.31,0.318,83.9,1380,38.8,6452,191,0.7833
638.03,286.72,0.302,79.8,2016,29.5,9640,53,0.7856
632.65,290.81,0.169,96.2,58,14.2,8286,148,0.5934
621.65,302.94,0.279,90.4,569,11.0,7748,464,0.734
669.54,326.07,0.184,92.3,576,24.9,3282,80,0.6736
664.52,317.26,0.634,57.1,4295,6.8,5541,374,0.9619
657.11,289.26,0.165,91.0,805,38.3,9808,85,0.6474
626.93,300.42,0.308,82.8,1576,31.8,5954,187,0.7805
619.36,250.35,0.449,66.0,3563,15.3,11616,27,0.8832
608.64,243.74,0.27,90.4,601,2.9,15000,182,0.6583
591.87,275.55,0.236,93.4,264,33.5,9969,285,0.6389
595.02,265.9,0.643,52.0,5000,18.9,12478,249,0.9575
612.54,283.14,0.252,77.8,2439,32.4,10162,156,0.7823
657.17,299.45,0.179,93.7,390,4.1,6397,138,0.6403
638.87,296.18,0.488,66.1,3426,14.0,8600,97,0.9091
609.52,257.98,0.496,68.3,3094,20.1,14040,437,0.902
660.63,293.88,0.574,63.0,3635,20.5,6429,458,0.9439
639.16,304.71,0.193,91.6,647,15.5,4882,198,0.669
666.79,323.34,0.342,84.8,1191,26.2,4597,145,0.7976
615.08,290.44,0.477,73.8,2366,9.3,7347,304,0.8793
677.97,329.49,0.186,89.3,991,18.6,4990,245,0.7239
611.69,255.89,0.243,94.1,145,21.2,13022,330,0.6358
650.45,297.87,0.207,93.8,293,25.1,8649,110,0.644
630.62,266.8,0.428,78.6,1818,27.1,10915,466,0.8487
640.64,294.24,0.297,87.5,941,8.8,7104,114,0.7337
635.61,302.83,0.138,97.2,11,4.7,4579,163,0.5807
683.33,317.18,0.406,71.4,2912,32.8,4072,43,0.885
669.98,305.09,0.449,83.4,1078,23.3,5276,580,0.859
623.43,271.77,0.253,89.6,753,12.5,9043,310,0.6965
628.74,282.16,0.449,73.4,2500,35.5,9560,80,0.8631
662.95,294.91,0.441,82.6,1214,21.2,9810,573,0.8553
667.83,317.88,0.469,73.9,2374,31.8,3534,366,0.8989
647.17,291.56,0.169,96.4,27,20.7,7999,175,0.6015
685.14,331.73,0.435,91.2,19,40.6,4922,1000,0.8537
637.71,289.43,0.219,84.1,1642,37.6,9204,123,0.73
607.63,279.42,0.591,53.0,5000,17.5,9437,31,0.9492
626.45,306.22,0.348,88.6,636,29.7,4483,397,0.771
607.95,268.58,0.406,75.7,2297,26.5,10904,424,0.8517
